Milliseconds,Temp
-1000,0
0,0
1000,25
2000,25
3000,25
4000,25
5000,25
6000,25
7000,25
8000,25
9000,25
10000,25
11000,25
12000,25
13000,25
14000,25
15000,25
16000,25
17000,25
18000,25
19000,25
20000,25
21000,25
22000,25
23000,25
24000,25
25000,25
26000,25
27000,25
28000,25
29000,25
30000,25
31000,25
32000,25
33000,25
34000,25
35000,25
36000,25
37000,25
38000,25
39000,25
40000,25
41000,25
42000,25
43000,25
44000,25
45000,25
46000,25
47000,25
48000,25
49000,25
50000,25
51000,25
52000,25
53000,25
54000,25
55000,25
56000,25
57000,25
58000,25
59000,25
60000,25
61000,25
62000,25
63000,25
64000,25
65000,25
66000,25
67000,25
68000,25
69000,25
70000,25
71000,25
72000,25
73000,25
74000,25
75000,25
76000,25
77000,25
78000,25
79000,25
80000,25
81000,25
82000,25
83000,25
84000,25
85000,25
86000,25
87000,25
88000,25
89000,25
90000,25
91000,25
92000,25
93000,25
94000,25
95000,25
96000,25
97000,25
98000,25
99000,25
100000,25
101000,25
102000,25
103000,25
104000,25
105000,25
106000,25
107000,25
108000,25
109000,25
110000,25
111000,25
112000,25
113000,25
114000,25
115000,25
116000,25
117000,25
118000,25
119000,25
120000,25
121000,25
122000,25
123000,25
124000,25
125000,25
126000,25
127000,25
128000,25
129000,25
130000,25
131000,25
132000,25
133000,25
134000,25
135000,25
136000,25
137000,25
138000,25
139000,25
140000,25
141000,25
142000,25
143000,25
144000,25
145000,25
146000,25
147000,25
148000,25
149000,25
150000,25
151000,25
